capital-gain,hours-per-week, ,capital-gain,hours-per-week, ,capital-gain,hours-per-week, ,capital-gain,hours-per-week, ,capital-gain,hours-per-week,Reward,Average Success Rate,Proportions Difference,L1 Norm
0,0, ,0,-3, ,-2,0, ,-48,-1, ,157,2,1107.21,1.0,0.0,32.84
0,2, ,88,0, ,-1,4, ,0,-2, ,4,0,1107.2,0.99,0.0,20.0
0,2, ,87,0, ,-1,5, ,0,-2, ,4,0,1107.2,0.99,0.0,20.0
0,0, ,0,-4, ,-4,0, ,-88,0, ,158,4,1107.16,1.0,0.0,33.46
0,0, ,17,-6, ,-3,-12, ,-32,0, ,131,0,1107.16,1.0,0.0,33.38
0,0, ,6,-3, ,-1,-6, ,-17,0, ,87,0,1107.16,0.99,0.0,20.52
142,0, ,-196,22, ,-323,-1, ,0,0, ,0,0,1107.16,1.0,0.0,33.46
0,0, ,6,-4, ,-3,-6, ,-19,0, ,86,0,1107.15,0.99,0.0,20.54
0,0, ,0,-3, ,-4,0, ,-79,0, ,160,4,1107.14,1.0,0.0,33.66
0,6, ,149,0, ,0,2, ,0,-2, ,10,0,1107.13,1.0,0.0,33.79
0,0, ,19,-7, ,-3,-6, ,-26,0, ,136,0,1107.13,1.0,0.0,33.78
0,1, ,93,0, ,0,2, ,0,-2, ,6,0,1107.13,0.99,0.0,20.8
0,0, ,5,-2, ,-7,-2, ,0,0, ,95,0,1107.13,0.99,0.0,20.85
0,0, ,0,-8, ,-3,-1, ,-80,-1, ,153,6,1107.11,1.0,0.0,34.05
-211,0, ,0,-7, ,160,2, ,0,0, ,0,0,1107.11,1.0,0.0,34.03
0,0, ,7,-2, ,-7,-2, ,0,0, ,94,0,1107.11,0.99,0.0,21.05
0,2, ,94,0, ,-1,4, ,0,-2, ,4,0,1107.1,0.99,0.0,21.2
0,0, ,6,-4, ,-2,-7, ,-18,0, ,88,0,1107.1,0.99,0.0,21.13
0,0, ,2,-3, ,0,-6, ,-24,0, ,95,0,1107.09,0.99,0.0,21.35
0,6, ,154,0, ,0,3, ,0,-1, ,8,0,1107.08,1.0,0.0,34.39
0,0, ,0,-2, ,-2,0, ,-45,0, ,168,1,1107.07,1.0,0.0,34.43
-1,0, ,0,-3, ,-4,0, ,-52,0, ,163,6,1107.05,1.0,0.0,34.66
0,0, ,19,-5, ,-2,-7, ,-29,0, ,142,0,1107.04,1.0,0.0,34.78
-238,0, ,0,-11, ,161,2, ,0,0, ,0,0,1107.02,1.0,0.0,35.02
0,0, ,4,-9, ,-16,-6, ,0,1, ,90,0,1107.02,0.99,0.0,22.09
-1,0, ,0,-3, ,-4,-1, ,-66,0, ,165,5,1107.02,1.0,0.0,35.07
0,0, ,9,-2, ,-6,-1, ,0,0, ,99,0,1107.01,0.99,0.0,22.24
0,0, ,6,-4, ,-8,-2, ,0,0, ,99,0,1107.01,0.99,0.0,22.25
-183,0, ,0,-9, ,165,1, ,0,0, ,0,0,1107.01,1.0,0.0,35.23
-230,0, ,0,-8, ,165,2, ,0,0, ,0,0,1107.01,1.0,0.0,35.23
0,0, ,4,-3, ,0,-6, ,-20,0, ,99,0,1106.99,0.99,0.0,22.53
0,0, ,0,-3, ,-2,0, ,-49,0, ,171,2,1106.99,1.0,0.0,35.44
0,5, ,158,0, ,0,2, ,0,-2, ,10,0,1106.99,1.0,0.0,35.4
0,0, ,4,-5, ,-14,-7, ,0,0, ,96,0,1106.99,0.99,0.0,22.49
86,0, ,0,0, ,-1,-1, ,-6,0, ,1,24,1106.99,0.99,0.0,22.42
84,0, ,0,0, ,-1,-1, ,-5,0, ,1,27,1106.98,0.99,0.0,22.61
-278,0, ,0,-10, ,165,2, ,0,0, ,0,0,1106.97,1.0,0.0,35.63
-259,0, ,0,-11, ,164,2, ,0,0, ,0,0,1106.97,1.0,0.0,35.62
0,0, ,0,-8, ,-2,-1, ,-69,-2, ,160,6,1106.97,1.0,0.0,35.64
0,5, ,159,0, ,0,2, ,0,-1, ,11,0,1106.97,1.0,0.0,35.6
-1,0, ,0,-4, ,-4,0, ,-53,0, ,170,5,1106.94,1.0,0.0,36.06
169,0, ,-654,8, ,-351,-2, ,0,0, ,0,0,1106.92,1.0,0.0,36.28
0,0, ,0,-3, ,-5,-1, ,-88,0, ,172,4,1106.92,1.0,0.0,36.27
0,0, ,20,-7, ,-3,-9, ,-30,0, ,145,0,1106.91,1.0,0.0,36.39
0,70, ,113,1, ,0,2, ,1,-1, ,7,0,1106.89,1.0,0.0,36.63
0,2, ,0,20, ,20,13, ,6,8, ,114,0,1106.89,1.0,0.0,36.57
0,0, ,19,-6, ,-4,-14, ,-49,0, ,144,0,1106.87,1.0,0.0,36.82
-261,0, ,0,-10, ,171,2, ,0,0, ,0,0,1106.87,1.0,0.0,36.83
0,5, ,161,0, ,0,9, ,0,-2, ,7,0,1106.87,1.0,0.0,36.79
135,0, ,0,0, ,-1,-1, ,-5,-1, ,2,46,1106.87,1.0,0.0,36.86
0,79, ,116,0, ,0,2, ,1,-1, ,6,0,1106.85,1.0,0.0,37.04
0,0, ,0,-8, ,-3,-1, ,-77,-1, ,167,7,1106.85,1.0,0.0,37.05
-196,0, ,0,-8, ,175,2, ,0,0, ,0,0,1106.84,1.0,0.0,37.23
0,2, ,0,21, ,24,18, ,7,8, ,107,0,1106.82,1.0,0.0,37.36
0,2, ,0,22, ,18,15, ,6,8, ,117,0,1106.81,1.0,0.0,37.56
167,0, ,-150,18, ,-290,-1, ,0,0, ,0,0,1106.8,1.0,0.0,37.66
0,73, ,120,1, ,0,2, ,1,0, ,6,0,1106.8,1.0,0.0,37.71
0,5, ,169,0, ,0,6, ,0,-1, ,8,0,1106.79,1.0,0.0,37.79
0,-8, ,0,0, ,-599,0, ,-497,19, ,161,0,1106.77,1.0,0.0,38.06
0,1, ,0,26, ,28,15, ,7,6, ,107,0,1106.77,1.0,0.0,37.95
0,1, ,0,25, ,30,15, ,8,7, ,105,0,1106.76,1.0,0.0,38.15
178,0, ,-353,9, ,-347,-2, ,0,0, ,0,0,1106.75,1.0,0.0,38.28
0,2, ,0,20, ,27,15, ,8,10, ,110,0,1106.74,1.0,0.0,38.36
171,0, ,-119,19, ,-375,-1, ,0,0, ,0,0,1106.71,1.0,0.0,38.66
-238,0, ,0,-11, ,182,2, ,0,0, ,0,0,1106.67,1.0,0.0,39.22
-1,0, ,0,-3, ,-4,0, ,-61,-1, ,185,6,1106.66,1.0,0.0,39.26
-1,0, ,0,-3, ,-4,-1, ,-53,-1, ,189,3,1106.63,1.0,0.0,39.66
3,-3, ,0,0, ,-775,0, ,-152,14, ,176,1,1106.61,1.0,0.0,39.87
0,6, ,184,0, ,0,3, ,0,-1, ,7,0,1106.58,1.0,0.0,40.19
181,0, ,-143,17, ,-273,-1, ,0,0, ,0,0,1106.58,1.0,0.0,40.26
0,0, ,0,-4, ,-2,-1, ,-99,-2, ,151,44,1106.56,1.0,0.0,40.5
-227,0, ,0,-8, ,191,2, ,0,0, ,0,0,1106.56,1.0,0.0,40.43
0,12, ,187,2, ,-1,0, ,1,0, ,4,0,1106.5,1.0,0.0,41.2
188,0, ,-596,16, ,-338,-1, ,0,0, ,0,0,1106.48,1.0,0.0,41.47
0,6, ,186,0, ,0,2, ,0,-2, ,11,0,1106.48,1.0,0.0,41.39
-179,0, ,0,-11, ,193,2, ,0,0, ,0,0,1106.48,1.0,0.0,41.42
0,0, ,0,-3, ,-2,0, ,-40,0, ,201,2,1106.48,1.0,0.0,41.42
28,21, ,124,21, ,-64,2, ,3,-1, ,6,1,1106.47,1.0,0.0,41.59
0,36, ,-1,8, ,108,0, ,34,13, ,-44,-8,1106.47,1.0,0.0,41.53
0,0, ,0,-4, ,-3,0, ,-46,0, ,201,2,1106.46,1.0,0.0,41.64
186,0, ,0,20, ,-418,-2, ,0,0, ,0,0,1106.45,1.0,0.0,41.82
-264,0, ,0,-12, ,194,2, ,0,0, ,0,0,1106.45,1.0,0.0,41.82
0,0, ,0,-4, ,-2,-1, ,-78,-2, ,196,6,1106.43,1.0,0.0,42.04
0,16, ,175,0, ,0,11, ,0,-1, ,8,0,1106.42,1.0,0.0,42.18
0,-3, ,0,0, ,-574,0, ,-188,15, ,190,1,1106.41,1.0,0.0,42.27
0,-3, ,0,0, ,-611,0, ,-224,15, ,190,1,1106.41,1.0,0.0,42.27
0,12, ,191,2, ,-1,1, ,1,0, ,5,0,1106.4,1.0,0.0,42.4
149,0, ,0,0, ,-1,-1, ,-5,-1, ,1,84,1106.4,1.0,0.0,42.33
-189,0, ,0,-7, ,203,2, ,0,0, ,0,0,1106.38,1.0,0.0,42.63
0,11, ,196,1, ,-1,0, ,1,0, ,4,0,1106.38,1.0,0.0,42.6
-1,0, ,0,-3, ,-4,0, ,-69,-1, ,202,6,1106.37,1.0,0.0,42.67
0,0, ,1,0, ,-1,-1, ,-8,-1, ,81,0,1106.37,0.98,0.0,16.86
196,0, ,-608,15, ,-376,-1, ,0,0, ,0,0,1106.36,1.0,0.0,42.87
-202,0, ,0,-10, ,201,2, ,0,0, ,0,0,1106.36,1.0,0.0,42.82
30,0, ,2,-4, ,-248,-3, ,0,29, ,143,-3,1106.35,1.0,0.0,43.0
0,0, ,4,-8, ,-15,-5, ,0,1, ,196,0,1106.35,1.0,0.0,42.89
0,2, ,0,20, ,17,14, ,5,7, ,85,0,1106.35,0.99,0.0,29.97
0,18, ,180,0, ,0,10, ,0,-2, ,5,0,1106.35,1.0,0.0,42.98
0,71, ,84,1, ,0,2, ,0,-1, ,6,0,1106.31,0.99,0.0,30.46
199,0, ,-333,15, ,-287,-2, ,0,0, ,0,0,1106.29,1.0,0.0,43.67
196,0, ,0,18, ,-465,-3, ,0,0, ,0,0,1106.29,1.0,0.0,43.63
206,0, ,0,8, ,-254,-4, ,0,0, ,0,0,1106.28,1.0,0.0,43.83
202,0, ,0,15, ,-401,-2, ,0,0, ,0,0,1106.26,1.0,0.0,44.03
7,-3, ,0,0, ,-728,0, ,-140,15, ,193,1,1106.24,1.0,0.0,44.27
0,2, ,82,0, ,-1,2, ,0,-2, ,4,0,1106.24,0.98,0.0,18.4
0,7, ,200,0, ,0,3, ,0,-2, ,11,0,1106.21,1.0,0.0,44.59
206,0, ,-751,14, ,-417,-1, ,0,0, ,0,0,1106.2,1.0,0.0,44.68
12,-3, ,0,0, ,-597,0, ,-126,17, ,189,0,1106.2,1.0,0.0,44.67
0,12, ,206,1, ,-1,0, ,1,0, ,4,0,1106.19,1.0,0.0,44.8
210,0, ,-333,10, ,-358,-2, ,0,0, ,0,0,1106.19,1.0,0.0,44.88
0,2, ,0,30, ,34,20, ,7,9, ,123,0,1106.18,1.0,0.0,44.93
212,0, ,0,8, ,-218,-4, ,0,0, ,0,0,1106.17,1.0,0.0,45.03
-203,0, ,0,-11, ,212,2, ,0,0, ,0,0,1106.16,1.0,0.0,45.22
0,0, ,1,-6, ,-251,-3, ,0,15, ,199,-1,1106.16,1.0,0.0,45.23
0,0, ,0,-1, ,-4,0, ,-50,-1, ,220,3,1106.15,1.0,0.0,45.25
24,-3, ,0,0, ,-538,0, ,-114,20, ,176,1,1106.15,1.0,0.0,45.26
0,88, ,93,0, ,0,2, ,1,-1, ,6,0,1106.14,0.99,0.0,32.51
-1,0, ,0,-2, ,-4,0, ,-64,-1, ,220,4,1106.12,1.0,0.0,45.67
0,0, ,0,-4, ,-2,-1, ,-80,-2, ,175,46,1106.12,1.0,0.0,45.66
-1,0, ,0,-2, ,-4,0, ,-59,-1, ,220,6,1106.09,1.0,0.0,46.06
0,14, ,209,1, ,-1,0, ,2,0, ,4,0,1106.09,1.0,0.0,46.0
68,0, ,3,-4, ,-270,-3, ,0,33, ,117,-3,1106.06,1.0,0.0,46.38
0,18, ,198,0, ,0,10, ,0,-1, ,5,0,1106.06,1.0,0.0,46.38
-187,0, ,0,-11, ,219,1, ,0,0, ,0,0,1106.05,1.0,0.0,46.42
-226,0, ,0,-7, ,223,2, ,0,0, ,0,0,1106.04,1.0,0.0,46.63
0,0, ,0,-4, ,-2,-1, ,-101,-2, ,173,54,1106.04,1.0,0.0,46.64
1,-3, ,0,0, ,-614,0, ,-195,13, ,213,1,1106.03,1.0,0.0,46.67
0,-3, ,0,0, ,-545,0, ,-279,9, ,218,1,1106.03,1.0,0.0,46.68
22,-3, ,0,0, ,-505,0, ,-110,20, ,185,1,1106.03,1.0,0.0,46.66
0,0, ,5,-6, ,-13,-3, ,0,0, ,102,0,1106.02,0.99,0.01,23.29
-190,0, ,0,-8, ,223,2, ,0,0, ,0,0,1106.02,1.0,0.0,46.83
0,10, ,98,1, ,-1,0, ,1,0, ,7,0,1106.01,0.99,0.01,23.4
213,0, ,-177,19, ,-329,-1, ,0,0, ,0,0,1106.0,1.0,0.0,47.06
0,-6, ,0,0, ,-810,0, ,-358,24, ,202,1,1106.0,1.0,0.0,47.06
18,0, ,2,-4, ,-282,-4, ,0,27, ,176,-4,1105.99,1.0,0.0,47.21
-202,0, ,0,-12, ,222,2, ,0,0, ,0,0,1105.97,1.0,0.0,47.42
0,0, ,7,-5, ,-3,-7, ,-23,0, ,99,1,1105.96,0.99,0.01,23.96
2,-4, ,0,0, ,-731,0, ,-185,12, ,217,1,1105.95,1.0,0.0,47.67
0,8, ,222,1, ,-1,0, ,2,0, ,5,0,1105.95,1.0,0.0,47.6
0,0, ,0,-3, ,-5,0, ,-40,-1, ,230,3,1105.95,1.0,0.0,47.64
0,0, ,7,-3, ,-1,-7, ,-20,0, ,103,0,1105.95,0.99,0.01,24.13
0,0, ,0,-3, ,-2,-1, ,-108,-2, ,180,53,1105.95,1.0,0.0,47.68
223,0, ,-374,11, ,-222,-2, ,0,0, ,0,0,1105.95,1.0,0.0,47.67
-226,0, ,0,-5, ,231,2, ,0,0, ,0,0,1105.93,1.0,0.0,47.84
-4,-1, ,0,-3, ,227,9, ,0,0, ,0,0,1105.92,1.0,0.0,48.02
0,18, ,206,0, ,0,12, ,0,-1, ,4,0,1105.91,1.0,0.0,48.18
0,1, ,0,27, ,25,19, ,7,8, ,89,0,1105.91,0.99,0.0,35.14
-2,-7, ,0,0, ,-686,0, ,-407,23, ,208,1,1105.9,1.0,0.0,48.27
0,72, ,-1,17, ,110,0, ,22,28, ,-75,-6,1105.88,1.0,0.0,48.48
3,-6, ,0,0, ,-774,0, ,-435,15, ,215,1,1105.88,1.0,0.0,48.47
0,0, ,0,-2, ,198,43, ,-2,0, ,0,0,1105.88,1.0,0.0,48.47
-198,0, ,0,-6, ,233,2, ,0,0, ,0,0,1105.88,1.0,0.0,48.43
180,0, ,0,0, ,-3,-1, ,-5,-1, ,5,59,1105.87,1.0,0.0,48.62
-4,-1, ,0,-3, ,232,8, ,-1,0, ,0,0,1105.85,1.0,0.0,48.83
227,0, ,0,13, ,-378,-3, ,0,0, ,0,0,1105.85,1.0,0.0,48.83
0,0, ,0,-3, ,-5,0, ,-34,-1, ,236,3,1105.85,1.0,0.0,48.83
0,8, ,229,1, ,-1,0, ,2,0, ,5,0,1105.84,1.0,0.0,49.0
0,1, ,0,18, ,28,19, ,7,7, ,100,0,1105.84,0.99,0.0,35.96
2,-8, ,0,0, ,-842,0, ,-388,15, ,217,1,1105.83,1.0,0.0,49.07
0,11, ,228,1, ,-1,0, ,2,0, ,4,0,1105.82,1.0,0.0,49.2
0,6, ,227,0, ,0,2, ,1,-1, ,9,0,1105.82,1.0,0.0,49.19
0,2, ,0,21, ,28,17, ,6,7, ,101,0,1105.81,0.99,0.0,36.36
0,7, ,228,0, ,0,3, ,0,-2, ,8,0,1105.79,1.0,0.0,49.59
0,21, ,210,0, ,0,11, ,0,-1, ,5,0,1105.79,1.0,0.0,49.57
0,73, ,-1,20, ,117,0, ,19,27, ,-78,-6,1105.78,1.0,0.0,49.7
0,34, ,-1,12, ,89,0, ,27,14, ,-47,-7,1105.78,0.99,0.0,36.75
0,15, ,216,0, ,0,10, ,0,-1, ,7,0,1105.77,1.0,0.0,49.78
-1,0, ,0,-2, ,202,47, ,-2,0, ,0,0,1105.75,1.0,0.0,50.02
0,61, ,-1,18, ,125,0, ,26,18, ,-56,-6,1105.74,1.0,0.0,50.08
186,0, ,0,-1, ,-3,-1, ,-6,-1, ,5,63,1105.73,1.0,0.0,50.24
0,22, ,214,0, ,0,11, ,0,-1, ,4,0,1105.72,1.0,0.0,50.37
0,40, ,-1,9, ,90,0, ,32,11, ,-48,-8,1105.66,0.99,0.0,38.11
-1,0, ,0,-2, ,210,45, ,-2,0, ,0,0,1105.64,1.0,0.0,51.25
0,37, ,-1,10, ,94,0, ,31,12, ,-43,-7,1105.64,0.99,0.0,38.33
0,2, ,0,39, ,29,19, ,8,11, ,149,0,1105.64,1.0,0.0,51.29
0,2, ,0,35, ,31,20, ,8,12, ,149,0,1105.64,1.0,0.0,51.31
0,34, ,-1,9, ,90,0, ,39,14, ,-51,-7,1105.61,0.99,0.0,38.75
-1,-7, ,0,0, ,-602,0, ,-452,19, ,231,0,1105.59,1.0,0.0,51.87
0,-6, ,0,0, ,-696,0, ,-308,24, ,228,1,1105.56,1.0,0.0,52.26
0,2, ,0,27, ,31,23, ,7,8, ,100,0,1105.54,0.99,0.0,39.54
