FunctionalAssessment,ADL,MMSE, ,FunctionalAssessment,ADL,MMSE, ,FunctionalAssessment,ADL,MMSE, ,FunctionalAssessment,ADL,MMSE, ,FunctionalAssessment,ADL,MMSE,Reward,Average Success Rate,Proportions Difference,L1 Norm
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.0353,25.1226,1084.2,0.99,0.01,3.55
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.1522,24.5487,1084.2,0.99,0.01,3.55
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.1163,24.9011,1084.16,0.99,0.01,3.56
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.3223,23.9894,1084.16,0.99,0.01,3.56
-0.0012,0.0004,-0.0016, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0011, ,0.0041,0.0012,-0.0004, ,0.0666,0.3018,23.864,1084.16,0.99,0.01,3.56
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.0201,25.358,1084.16,0.99,0.01,3.56
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.0202,25.3827,1084.16,0.99,0.01,3.56
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.2741,24.2944,1084.16,0.99,0.01,3.56
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.1525,24.7437,1084.16,0.99,0.01,3.56
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.1492,24.7327,1084.16,0.99,0.01,3.56
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.3463,23.8871,1084.16,0.99,0.01,3.56
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.1571,24.6612,1084.16,0.99,0.01,3.56
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.0229,25.3418,1084.16,0.99,0.01,3.56
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.0404,25.1602,1084.16,0.99,0.01,3.56
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.8828,1.8977,24.9701,1084.14,1.0,0.0,4.08
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.2916,24.3739,1084.13,0.99,0.01,3.57
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.4323,23.8823,1084.13,0.99,0.01,3.57
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.0603,25.2612,1084.13,0.99,0.01,3.57
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.022,25.5206,1084.13,0.99,0.01,3.57
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.1335,25.0858,1084.13,0.99,0.01,3.57
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.252,24.5895,1084.13,0.99,0.01,3.57
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.136,24.9334,1084.13,0.99,0.01,3.57
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.001, ,0.0007,0.0004,-0.0004, ,0.0105,0.3136,24.2175,1084.13,0.99,0.01,3.57
-0.0086,0.0004,-0.0078, ,0.0004,-0.0016,0.0004, ,0.0004,0.0004,0.0091, ,0.0175,0.0059,-0.002, ,0.3479,1.4475,23.4551,1084.11,0.99,0.0,3.83
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.067,25.5161,1084.09,0.99,0.01,3.58
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0026,0.2138,24.8344,1084.09,0.99,0.01,3.58
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.1118,25.3276,1084.09,0.99,0.01,3.58
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.069,25.5982,1084.09,0.99,0.01,3.58
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.0558,25.6448,1084.09,0.99,0.01,3.58
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.0518,25.6617,1084.09,0.99,0.01,3.58
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0009, ,0.001,0.0004,-0.0004, ,0.0105,0.3154,24.3372,1084.09,0.99,0.01,3.58
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.1102,25.3649,1084.09,0.99,0.01,3.58
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.1443,25.2174,1084.09,0.99,0.01,3.58
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.0243,25.9002,1084.09,0.99,0.01,3.58
-0.0014,0.0004,-0.0018, ,0.0004,-0.0006,0.0004, ,0.0004,0.0004,0.0024, ,0.0025,0.0029,-0.0005, ,0.0553,0.355,24.0482,1084.09,0.99,0.01,3.58
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0012, ,0.001,0.0004,-0.0004, ,0.0108,0.3443,24.2739,1084.09,0.99,0.01,3.58
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.3968,24.0604,1084.09,0.99,0.01,3.58
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.0702,25.5958,1084.09,0.99,0.01,3.58
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.369,24.2296,1084.09,0.99,0.01,3.58
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.1476,25.4464,1084.05,0.99,0.01,3.59
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.097,25.601,1084.05,0.99,0.01,3.59
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.3212,24.7344,1084.05,0.99,0.01,3.59
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.3645,24.4552,1084.05,0.99,0.01,3.59
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.1652,25.3052,1084.05,0.99,0.01,3.59
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.1376,25.5038,1084.05,0.99,0.01,3.59
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.0136,26.2008,1084.05,0.99,0.01,3.59
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0026,0.1998,25.198,1084.05,0.99,0.01,3.59
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.2636,24.9309,1084.05,0.99,0.01,3.59
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.0123,26.0361,1084.05,0.99,0.01,3.59
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.022,26.0026,1084.05,0.99,0.01,3.59
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.1165,25.6144,1084.05,0.99,0.01,3.59
-0.002,0.0004,-0.002, ,0.0004,-0.0008,0.0004, ,0.0004,0.0004,0.0028, ,0.0025,0.003,-0.0005, ,0.06,0.4134,24.0603,1084.05,0.99,0.01,3.59
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.193,25.2237,1084.05,0.99,0.01,3.59
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.0483,26.0768,1084.05,0.99,0.01,3.59
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.0522,25.933,1084.05,0.99,0.01,3.59
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0039,0.4099,24.2602,1084.05,0.99,0.01,3.59
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.2851,24.7052,1084.05,0.99,0.01,3.59
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.9089,1.5,28.7888,1084.03,1.0,0.0,4.11
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.0145,26.362,1084.01,0.99,0.01,3.6
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.139,25.6332,1084.01,0.99,0.01,3.6
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.0425,26.3722,1084.01,0.99,0.01,3.6
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0014,0.1465,25.6486,1084.01,0.99,0.01,3.6
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0013,0.0929,26.0998,1084.01,0.99,0.01,3.6
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.1778,25.57,1084.01,0.99,0.01,3.6
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.1058,26.0368,1084.01,0.99,0.01,3.6
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.0139,26.5554,1084.01,0.99,0.01,3.6
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0009, ,0.0009,0.0004,-0.0004, ,0.0103,0.3123,24.9451,1084.01,0.99,0.01,3.6
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.048,26.2744,1084.01,0.99,0.01,3.6
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.4298,24.3708,1084.01,0.99,0.01,3.6
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.0436,26.3168,1084.01,0.99,0.01,3.6
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.2122,25.4501,1084.01,0.99,0.01,3.6
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.0782,25.9821,1084.01,0.99,0.01,3.6
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.4157,24.4501,1084.01,0.99,0.01,3.6
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.0221,26.2805,1084.01,0.99,0.01,3.6
-0.0011,0.0004,-0.0006, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0014, ,0.0039,0.0013,-0.0004, ,0.0329,0.183,25.2284,1084.01,0.99,0.01,3.6
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.1531,25.6743,1084.01,0.99,0.01,3.6
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.2021,25.3136,1084.01,0.99,0.01,3.6
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.23,25.3788,1084.01,0.99,0.01,3.6
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.1526,25.6006,1084.01,0.99,0.01,3.6
-0.0012,0.0004,-0.0017, ,0.0004,-0.0005,0.0004, ,0.0004,0.0004,0.0012, ,0.0039,0.0012,-0.0004, ,0.0622,0.3018,24.7029,1084.01,0.99,0.01,3.6
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.874,1.8408,26.3644,1083.99,1.0,0.0,4.12
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.1496,26.0056,1083.97,0.99,0.01,3.61
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.049,26.6238,1083.97,0.99,0.01,3.61
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.148,25.8175,1083.97,0.99,0.01,3.61
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.004,0.4227,24.5477,1083.97,0.99,0.01,3.61
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.1006,26.1453,1083.97,0.99,0.01,3.61
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.148,25.9858,1083.97,0.99,0.01,3.61
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.1722,25.8495,1083.97,0.99,0.01,3.61
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.1862,25.7601,1083.97,0.99,0.01,3.61
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.0483,26.4363,1083.97,0.99,0.01,3.61
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.0342,26.5179,1083.97,0.99,0.01,3.61
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.0301,26.6611,1083.97,0.99,0.01,3.61
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.0902,26.2983,1083.97,0.99,0.01,3.61
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.1281,26.0559,1083.97,0.99,0.01,3.61
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.0469,26.5466,1083.97,0.99,0.01,3.61
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.1208,25.9841,1083.97,0.99,0.01,3.61
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.1337,25.975,1083.97,0.99,0.01,3.61
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.1531,25.8002,1083.97,0.99,0.01,3.61
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.1506,25.8108,1083.97,0.99,0.01,3.61
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.07,26.3446,1083.97,0.99,0.01,3.61
-0.0012,0.0004,-0.0026, ,0.0004,-0.0005,0.0004, ,0.0004,0.0004,0.0018, ,0.0022,0.0015,-0.0004, ,0.0673,0.2704,24.9626,1083.97,0.99,0.01,3.61
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.4283,24.6892,1083.97,0.99,0.01,3.61
-0.0004,0.0004,-0.0004, ,0.0004,-0.0004,0.0004, ,0.0004,0.0004,0.0004, ,0.0004,0.0004,-0.0004, ,0.0004,0.0716,26.5568,1083.97,0.99,0.01,3.61
