priors_count,length_of_stay, ,priors_count,length_of_stay, ,priors_count,length_of_stay, ,priors_count,length_of_stay, ,priors_count,length_of_stay,Reward,Average Success Rate,Proportions Difference,L1 Norm
-38.0,-518.0, ,-17.0,-13.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1072.01,0.83,0.0,10.74
-35.0,-433.0, ,-14.0,-16.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.98,0.83,0.0,10.85
-31.0,-568.0, ,-13.0,-16.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.98,0.83,0.0,10.86
-36.0,-685.0, ,-10.0,-17.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.98,0.83,0.0,10.86
-34.0,-601.0, ,-10.0,-17.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.98,0.83,0.0,10.84
-32.0,-584.0, ,-14.0,-16.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.97,0.83,0.0,10.89
-31.0,-759.0, ,-12.0,-16.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.97,0.83,0.0,10.89
-34.0,-799.0, ,-10.0,-18.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.96,0.83,0.0,10.95
-31.0,-701.0, ,-19.0,-15.0, ,-5.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.94,0.83,0.0,11.01
-36.0,-751.0, ,-6.0,-22.0, ,-4.0,-5.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.94,0.83,0.0,11.02
-37.0,-671.0, ,-13.0,-19.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.93,0.83,0.0,11.06
-36.0,-789.0, ,-18.0,-17.0, ,-5.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.91,0.83,0.0,11.14
-38.0,-450.0, ,-28.0,-22.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.87,0.83,0.0,11.28
-31.0,-799.0, ,-5.0,-12.0, ,-5.0,-25.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.78,0.83,0.0,11.66
-38.0,-692.0, ,-6.0,-34.0, ,-4.0,-8.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.75,0.83,0.0,11.76
-37.0,-771.0, ,-6.0,-35.0, ,-4.0,-7.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.75,0.83,0.0,11.76
-38.0,-671.0, ,-13.0,-33.0, ,-4.0,-4.0, ,-5.0,-4.0, ,-4.0,-4.0,1071.74,0.83,0.0,11.81
-34.0,-689.0, ,-12.0,-35.0, ,-4.0,-4.0, ,-5.0,-4.0, ,-4.0,-4.0,1071.73,0.83,0.0,11.86
-36.0,-758.0, ,-6.0,-44.0, ,-4.0,-4.0, ,-5.0,-4.0, ,-4.0,-4.0,1071.72,0.83,0.0,11.89
-36.0,-562.0, ,-5.0,-7.0, ,-4.0,-44.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.72,0.83,0.0,11.9
-31.0,-392.0, ,-14.0,-40.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.72,0.83,0.0,11.91
-35.0,-749.0, ,-12.0,-37.0, ,-4.0,-4.0, ,-5.0,-4.0, ,-4.0,-4.0,1071.71,0.83,0.0,11.95
-37.0,-363.0, ,-13.0,-42.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.71,0.83,0.0,11.94
-34.0,-677.0, ,-13.0,-36.0, ,-4.0,-4.0, ,-5.0,-4.0, ,-4.0,-4.0,1071.71,0.83,0.0,11.92
-38.0,-386.0, ,-13.0,-24.0, ,-4.0,-9.0, ,-4.0,-9.0, ,-4.0,-4.0,1071.71,0.83,0.0,11.95
-37.0,-799.0, ,-11.0,-38.0, ,-4.0,-4.0, ,-5.0,-4.0, ,-4.0,-4.0,1071.7,0.83,0.0,11.97
-34.0,-578.0, ,-7.0,-39.0, ,-4.0,-8.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.7,0.83,0.0,11.97
-38.0,-395.0, ,-13.0,-43.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.7,0.83,0.0,11.97
-35.0,-432.0, ,-14.0,-44.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.69,0.83,0.0,12.03
-31.0,-557.0, ,-12.0,-43.0, ,-4.0,-4.0, ,-5.0,-4.0, ,-4.0,-4.0,1071.68,0.83,0.0,12.07
-35.0,-700.0, ,-10.0,-14.0, ,-4.0,-27.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.68,0.83,0.0,12.04
-38.0,-471.0, ,-13.0,-45.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.68,0.83,0.0,12.05
-37.0,-702.0, ,-11.0,-45.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.68,0.83,0.0,12.06
-38.0,-502.0, ,-7.0,-42.0, ,-4.0,-9.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.67,0.83,0.0,12.1
-37.0,-622.0, ,-12.0,-45.0, ,-4.0,-4.0, ,-5.0,-4.0, ,-4.0,-4.0,1071.66,0.83,0.0,12.15
-36.0,-510.0, ,-12.0,-19.0, ,-4.0,-9.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.66,0.84,0.01,11.34
-35.0,-422.0, ,-16.0,-47.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.66,0.83,0.0,12.14
-37.0,-402.0, ,-15.0,-48.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.66,0.83,0.0,12.15
-38.0,-672.0, ,-13.0,-44.0, ,-4.0,-4.0, ,-5.0,-4.0, ,-4.0,-4.0,1071.65,0.83,0.0,12.16
-38.0,-652.0, ,-13.0,-44.0, ,-4.0,-4.0, ,-5.0,-4.0, ,-4.0,-4.0,1071.65,0.83,0.0,12.16
-35.0,-799.0, ,-6.0,-68.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.61,0.83,0.0,12.34
-38.0,-312.0, ,-13.0,-22.0, ,-4.0,-26.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.6,0.83,0.0,12.38
-38.0,-606.0, ,-11.0,-54.0, ,-4.0,-6.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.59,0.83,0.0,12.41
-35.0,-580.0, ,-5.0,-8.0, ,-4.0,-63.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.59,0.83,0.0,12.4
-36.0,-799.0, ,-8.0,-71.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.56,0.83,0.0,12.51
-36.0,-478.0, ,-12.0,-61.0, ,-4.0,-7.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.54,0.83,0.0,12.61
-29.0,-644.0, ,-17.0,-45.0, ,-5.0,-9.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.54,0.83,0.0,12.6
-34.0,-551.0, ,-15.0,-49.0, ,-5.0,-9.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.53,0.83,0.0,12.65
-37.0,-597.0, ,-14.0,-57.0, ,-5.0,-7.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.52,0.83,0.0,12.7
-38.0,-551.0, ,-14.0,-15.0, ,-4.0,-44.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.5,0.83,0.0,12.78
-38.0,-642.0, ,-6.0,-48.0, ,-4.0,-19.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.49,0.83,0.0,12.82
-38.0,-694.0, ,-13.0,-28.0, ,-4.0,-11.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.49,0.84,0.01,12.0
-38.0,-529.0, ,-15.0,-67.0, ,-5.0,-7.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.47,0.83,0.0,12.89
-38.0,-564.0, ,-13.0,-63.0, ,-5.0,-9.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.46,0.83,0.0,12.92
-31.0,-776.0, ,-14.0,-16.0, ,-4.0,-48.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.44,0.83,0.0,13.01
-38.0,-570.0, ,-14.0,-68.0, ,-5.0,-9.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.43,0.83,0.0,13.04
-35.0,-650.0, ,-15.0,-229.0, ,-6.0,-62.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.42,0.84,0.0,16.68
-38.0,-715.0, ,-6.0,-88.0, ,-5.0,-9.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.42,0.83,0.0,13.07
-32.0,-656.0, ,-13.0,-67.0, ,-6.0,-9.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.42,0.83,0.0,13.09
-29.0,-799.0, ,-5.0,-5.0, ,-4.0,-41.0, ,-4.0,-28.0, ,-4.0,-4.0,1071.41,0.83,0.0,13.13
-29.0,-719.0, ,-21.0,-65.0, ,-6.0,-8.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.41,0.83,0.0,13.11
-38.0,-799.0, ,-16.0,-16.0, ,-4.0,-53.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.4,0.83,0.0,13.16
-30.0,-704.0, ,-15.0,-75.0, ,-6.0,-7.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.4,0.83,0.0,13.15
-36.0,-763.0, ,-15.0,-76.0, ,-4.0,-10.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.39,0.83,0.0,13.22
-31.0,-475.0, ,-5.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.37,0.82,0.0,9.69
-38.0,-640.0, ,-15.0,-88.0, ,-5.0,-8.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.36,0.83,0.0,13.32
-31.0,-501.0, ,-23.0,-88.0, ,-5.0,-8.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.35,0.83,0.0,13.35
-38.0,-543.0, ,-14.0,-79.0, ,-6.0,-11.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.34,0.83,0.0,13.41
-38.0,-669.0, ,-14.0,-91.0, ,-5.0,-9.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.34,0.83,0.0,13.41
-36.0,-418.0, ,-7.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.34,0.82,0.0,9.81
-36.0,-451.0, ,-7.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.34,0.82,0.0,9.82
-31.0,-451.0, ,-7.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.34,0.82,0.0,9.82
-31.0,-609.0, ,-20.0,-94.0, ,-5.0,-8.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.33,0.83,0.0,13.44
-35.0,-560.0, ,-14.0,-95.0, ,-5.0,-9.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.33,0.83,0.0,13.44
